Date,PLD
2020-01-01,284.5022563233206
2020-01-02,285.1620268196228
2020-01-03,285.4982074605089
2020-01-06,282.9989361517533
2020-01-07,291.9319624350479
2020-01-08,277.67645226415635
2020-01-09,271.9076905457182
2020-01-10,275.02474306965996
2020-01-13,277.23045685770296
2020-01-14,271.4932041994727
2020-01-15,266.58675598153883
2020-01-16,272.48242891788533
2020-01-17,272.6227083511185
2020-01-20,270.4685147744113
2020-01-21,266.2714459707929
2020-01-22,262.12921159265846
2020-01-23,265.430440156505
2020-01-24,270.93544609994876
2020-01-27,274.947698545791
2020-01-28,269.4723186766868
2020-01-29,265.76197486436047
2020-01-30,262.8436615659746
2020-01-31,266.96110383404624
2020-02-03,270.0896125175682
2020-02-04,266.73756054185543
2020-02-05,274.093142262534
2020-02-06,270.1883885802524
2020-02-07,266.7691359426118
2020-02-10,273.5775109924582
2020-02-11,276.5464058366159
2020-02-12,270.9993373594992
2020-02-13,270.93378703446257
2020-02-14,270.753043697286
2020-02-17,278.03814417363634
2020-02-18,277.95958349643604
2020-02-19,270.51556085907214
2020-02-20,270.6618264668478
2020-02-21,272.52451255420414
2020-02-24,278.93131931709013
2020-02-25,278.1070588492751
2020-02-26,275.739011859889
2020-02-27,275.47985030278113
2020-02-28,268.0669076113538
2020-03-02,269.5401909138534
2020-03-03,274.86766441494274
2020-03-04,276.8155068440772
2020-03-05,280.9517016341091
2020-03-06,276.4780275713075
2020-03-09,275.3413055773505
2020-03-10,268.6444532980997
2020-03-11,265.72488799431886
2020-03-12,268.58274095030373
2020-03-13,263.00752855117184
2020-03-16,277.20817832197696
2020-03-17,277.73361704421967
2020-03-18,273.4276013697383
2020-03-19,273.49606148055096
2020-03-20,273.4355822179957
2020-03-23,268.7777710131354
2020-03-24,261.0030064038566
2020-03-25,258.82282597178374
2020-03-26,264.287246286839
2020-03-27,261.64729979500623
2020-03-30,258.84038154933677
2020-03-31,262.565031197013
2020-04-01,263.2258725406989
2020-04-02,255.15028135192975
2020-04-03,255.9843972082609
2020-04-06,262.32699167648167
2020-04-07,264.1439477028526
2020-04-08,265.3323566407197
2020-04-09,265.9625566586063
