Date,SPG
2020-01-01,277.8162310664491
2020-01-02,279.2764237795517
2020-01-03,274.0604737982834
2020-01-06,279.36708355714313
2020-01-07,279.94340988980707
2020-01-08,283.35261603926284
2020-01-09,282.2617523946343
2020-01-10,282.1808740873197
2020-01-13,286.1173627668242
2020-01-14,290.9818640876954
2020-01-15,296.1984582045413
2020-01-16,298.63916454098995
2020-01-17,300.6556016859407
2020-01-20,304.7759371347656
2020-01-21,300.1317369924847
2020-01-22,298.84775930514434
2020-01-23,302.2339874942859
2020-01-24,300.3452093323737
2020-01-27,305.0156293219857
2020-01-28,305.1042866841826
2020-01-29,300.7212517431906
2020-01-30,305.2828133926735
2020-01-31,309.90645557570696
2020-02-03,308.5430942954395
2020-02-04,309.9235913747111
2020-02-05,310.56155837404407
2020-02-06,302.6173919281501
2020-02-07,296.60174916863957
2020-02-10,295.7799751149604
2020-02-11,300.46490236516286
2020-02-12,299.07916049282727
2020-02-13,303.34661531940367
2020-02-14,305.1437754016823
2020-02-17,300.6504117948679
2020-02-18,301.8314330837823
2020-02-19,300.77205727055696
2020-02-20,292.5702384360509
2020-02-21,292.0451510838592
2020-02-24,291.487545502235
2020-02-25,288.95960744771935
2020-02-26,285.350347865771
2020-02-27,283.33366097919634
2020-02-28,298.5472570145179
2020-03-02,303.6306624203861
2020-03-03,304.54766322594503
2020-03-04,314.2536471947805
2020-03-05,314.42617326965245
2020-03-06,310.4806283415433
2020-03-09,311.6150534846009
2020-03-10,311.74275738738567
2020-03-11,310.70047976132616
2020-03-12,306.1533436130866
2020-03-13,317.3578577271385
2020-03-16,319.188614609641
2020-03-17,320.06940866876664
2020-03-18,316.63945338936617
2020-03-19,311.6380381014757
2020-03-20,308.1675349485609
2020-03-23,304.8701914992567
2020-03-24,302.71479457878604
2020-03-25,307.161224747957
2020-03-26,309.9482890614007
2020-03-27,314.4795257170837
2020-03-30,314.43394093193234
2020-03-31,311.8344402736916
2020-04-01,307.72824740803435
2020-04-02,305.3502038494373
2020-04-03,305.2063501380582
2020-04-06,306.75858062292156
2020-04-07,300.6684180591979
2020-04-08,301.307180682984
2020-04-09,294.7294216331087
2020-04-10,299.99407655013886
2020-04-13,291.2127689133992
